,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A
,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long
2023-05-16 17:30:00,419.76468,97.14383759998194,3.767498238669239,0.7303414515640633,140.53292095586232,4.310863557934974,6.988003808542516,no,480.33334,0.24714613606007063,-2.496022037839662,1.0018977212783147,52.44231686224496,4.509038177140738,-81.10260028507486,no,400,162.03313392851578,7.494973444065295,0.6930525624701335,-155.15775001981197,4.473080970179079,71.29733283286822,yes,411.13333,-8.398086121097947,-3.470981438057384,0.9614219022376868,50.034945551923954,5.932798155178616,-83.50997159539585,no
2023-05-16 17:45:00,427.3638,97.14037274033603,3.7675943605083724,0.7302870233557364,139.75473707581202,4.155473698955896,6.209819928492209,no,481.33334,0.24711781158865684,-2.4948188607067916,1.0019003585289712,52.334055222289535,4.490035775560027,-81.21086192503027,no,400,162.03755723828763,7.494277514193852,0.6931584284144344,-155.14664817926283,4.473778803063372,71.30843467341737,yes,412.93332,-8.3972242229151,-3.4697519514556836,0.961420910890091,49.781142521473726,5.880052470774145,-83.76377462584608,no
2023-05-16 18:00:00,400.1314,97.1369089122278,3.767690448028417,0.7302325443620612,142.64812334390757,4.753785752177362,9.103206196587763,no,484.0,0.2470894150397085,-2.493615621867842,1.00190299574153,52.047251363705485,4.439918088664096,-81.49766578361432,no,400,162.04197615979075,7.493581328527935,0.693264270708063,-155.13555214217047,4.474476488076109,71.31953071050972,yes,413.06668,-8.396362272672548,-3.468522338248719,0.9614199195787063,49.7632674086297,5.87617570139115,-83.7816497386901,no
2023-05-16 18:15:00,403.67886,97.13344611499828,3.767786501222894,0.7301780145761698,142.24132106677587,4.668325514859864,8.69640391945606,no,480.66666,0.2470610095828857,-2.492412313421998,1.0019056321396784,52.40665416476582,4.502735352081801,-81.13826298255398,no,400,162.0463906942555,7.492884887397091,0.6933700893516515,-155.1244619073175,4.47517402521594,71.33062094536268,yes,419.73334,-8.395500272149036,-3.4672925984799665,0.9614189283035777,48.840417481883264,5.68703982964328,-84.70449966543654,no
2023-05-16 18:30:00,397.71698,97.12998435067142,3.76788252008532,0.7301234339911771,142.91058599524268,4.812332650705125,9.365668847922876,no,476.66666,0.2470325669446272,-2.491208940913807,1.0019082679797484,52.84453381482486,4.5798979634693815,-80.70038333249495,no,400,162.05080084559071,7.492188191130407,0.6934758843458351,-155.1133774708079,4.475871414481524,71.34170538187229,yes,421.0,-8.39463822043922,-3.4660627321933624,0.9614179370647381,48.669117940678916,5.6521479992267984,-84.87579920664089,no
2023-05-16 18:45:00,400.5393,97.12652362126724,3.767978504609194,0.7300688026001889,142.5811085094171,4.7428080190488435,9.036191362097298,no,489.0,0.24700406583849022,-2.4900055036898143,1.001910903707056,51.51811311057557,4.3482166294769415,-82.02680403674424,no,400,162.05520661769785,7.491491240056549,0.6935816556912506,-155.10229882875282,4.476568655871501,71.35278402392737,yes,417.4,-8.393776116642982,-3.4648327394327123,0.9614169458622238,49.162193554295925,5.752188291237813,-84.38272359302388,no
2023-05-16 19:00:00,392.85336,97.12306392613124,3.7680744547879588,0.7300141203963105,143.46344332650926,4.934411243010109,9.918526179189456,no,492.33334,0.2469755627137669,-2.4888019938892847,1.0019135383950788,51.171155280000406,4.288643130609069,-82.3737618673194,no,400,162.05960801180098,7.4907940345037325,0.6936874033885378,-155.0912259799407,4.477265749384647,71.36385687273949,yes,414.73334,-8.392913962535602,-3.463602620241398,0.9614159546960807,49.53317371781549,5.828027629948817,-84.01174342950432,no
2023-05-16 19:15:00,386.48825,97.1196052672879,3.76817037061506,0.7299593873726341,144.2196071137413,5.102033639834053,10.674689966421482,no,471.33334,0.2469469985869897,-2.4875984250160736,1.0019161729452097,53.44023211453305,4.685955509600608,-80.10468503278676,no,400,162.06400503179935,7.4900965747997095,0.6937931274383377,-155.08015892048454,4.477962695019593,71.37492393219566,yes,416.73334,-8.392051757214176,-3.462372374663328,0.9614149635663368,49.256078143569084,5.771016333197796,-84.28883900375072,no
2023-05-16 19:30:00,402.8491,97.11614764676268,3.768266252083899,0.7299046035222466,142.29986487628008,4.686253414406022,8.754947728960275,no,469.33334,0.24691840216433716,-2.4863947895989464,1.0019188069759057,53.667090018525435,4.726679507783463,-79.87782712879437,no,400,162.06839768158977,7.4893988612717965,0.693898827841294,-155.0690976464997,4.478659492775146,71.3859852061805,yes,415.14285,-8.39118949977518,-3.4611420027425406,0.961413972473032,49.47784769298414,5.816293074232013,-84.06706945433567,no
2023-05-16 19:45:00,391.99783,97.11269106390257,3.7683620991878684,0.7298497688382225,143.54366204515756,4.955376860482093,9.998744897837753,no,451.0,0.24688975901567,-2.4851910913646247,1.0019214405537495,55.838830516838065,5.126056433847725,-77.70608663048174,no,400,162.07278596238717,7.488700894246893,0.6940045045980526,-155.05804215678316,4.479356142650006,71.39704069589703,yes,412.5,-8.390327191995084,-3.45991150452188,0.961412981416209,49.84951595203887,5.892722976786182,-83.69540119528094,no
2023-05-16 20:00:00,379.2746,97.10923552073403,3.7684579119203274,0.7297948833136372,145.0941506440876,5.301892827791577,11.549233496767783,no,451.33334,0.24686108309170823,-2.4839873249606303,1.0019240736954256,55.79795924690364,5.118367159464466,-77.74695790041616,no,400,162.07716987808328,7.488002674051389,0.694110157709266,-155.04699244745473,4.480052644642995,71.40809040522547,yes,404.64285,-8.389464832971328,-3.4586808800457467,0.9614119903959033,50.981295732895944,6.129115238489818,-82.56362141442386,no
2023-05-16 20:15:00,384.31427,97.10578101928485,3.768553690274596,0.7297399469415522,144.4578541436082,5.159833521561958,10.91293699628838,no,450.0,0.24683237873350156,-2.482783493636037,1.001926706182182,55.96274536014029,5.14932844308325,-77.58217178717952,no,400,162.08154943256721,7.487304201011294,0.6942157871755846,-155.03594851463683,4.480748998752894,71.41913433804336,yes,400.0,-8.388602421801465,-3.4574501293577287,0.9614109994121475,51.67132951198727,6.275600358847379,-81.87358763533254,no
2023-05-16 20:30:00,393.25894,97.1023275589057,3.768649434243981,0.7296849597150241,143.37386399668333,4.921751200297413,9.828946849363518,no,445.66666,0.24680363860858734,-2.481579596526195,1.001929338171585,56.504678328150064,5.251880946856933,-77.04023881916974,no,400,162.08592462704766,7.486605475452157,0.6943213929976625,-155.02491035713217,4.481445204978524,71.43017249554802,yes,402.0,-8.387739960259694,-3.4562192525018283,0.9614100084649841,51.373430681429454,6.211864832242064,-82.17148646589035,no
2023-05-16 20:45:00,390.84167,97.09887514162331,3.768745143821771,0.7296299216270944,143.65304906825472,4.983948042719545,10.108131920934909,no,449.33334,0.246774854085153,-2.4803756307171643,1.0019319697272575,56.04578922644849,5.164945405389913,-77.49912792087132,no,400,162.09029546540526,7.48590649769908,0.6944269751761566,-155.01387797107122,4.482141263318705,71.44120488160897,yes,398.46667,-8.386877447446125,-3.454988249521419,0.961409017554451,51.90426448350314,6.325150637478261,-81.64065266381667,no
2023-05-16 21:00:00,406.0723,97.09542376946972,3.7688408190012237,0.7295748326708033,141.90006908704993,4.608360500743742,8.35515193973012,no,456.5,0.24674603694346162,-2.4791716032132873,1.0019346008058008,55.16997694718175,5.001160530021892,-78.37494020013806,no,400,162.09466195152342,7.485207268076717,0.6945325337117267,-155.00285135258147,4.482837173772314,71.45223150009872,yes,393.46667,-8.386014882455754,-3.4537571204600606,0.9614080266805881,52.67132447652449,6.490874143362653,-80.87359267079532,no
2023-05-16 21:15:00,408.57355,97.09197344179725,3.768936459775559,0.7295196928391862,141.61893646113836,4.550491525452839,8.074019313818553,no,450.66666,0.2467171939795446,-2.4779675091069837,1.0019372312201515,55.881083646182944,5.133902522890627,-77.66383350113686,no,400,162.09902408660298,7.484507786909291,0.6946380686050351,-154.99183050047273,4.483532936338234,71.46325235220746,yes,390.92856,-8.38515226706403,-3.452525865362256,0.9614070358434241,53.06864942275945,6.577523838046305,-80.47626772456036,no
2023-05-16 21:30:00,412.05078,97.08852416063557,3.7690320661379757,0.7294645021252609,141.23636096681642,4.471975818705829,7.691443819496612,no,439.33334,0.24668827791645248,-2.476763353826415,1.001939861586503,57.316454871892795,5.407453582533538,-76.228462275427,no,400,162.1033818745174,7.4838080545205585,0.6947435798567476,-154.9808154108821,4.484228551015371,71.4742674417981,yes,399.5,-8.384289600370494,-3.4512944842711173,0.9614060450430115,51.75104293795516,6.291715954659436,-81.79387420936465,no
2023-05-16 21:45:00,411.08325,97.08507592801891,3.7691276380816725,0.7294092605220426,141.33344278259827,4.493177542251671,7.788525635278461,no,440.33334,0.24665935456631322,-2.47555912973404,1.0019424911268762,57.18704383385523,5.382464187509688,-76.35787331346458,no,400,162.10773531914217,7.483108071233894,0.6948490674675322,-154.96980607994433,4.484924017802629,71.48527677273586,yes,411.4,-8.38342688146912,-3.4500629772305524,0.9614050542793703,50.0125023328082,5.925015597389479,-83.53241481451161,no
