Epoch,PH_0,PHC_0,PH_1,PHC_1,PH_2,PHC_2,PH_3,PHC_3,PH_4,PHC_4,PH_5,PHC_5,PH_6,PHC_6,PH_7,PHC_7,PH_8,PHC_8,PH_9,PHC_9
2021-05-28 00:00:20.820,0.000442,2,0.00015,1,0.0,0,0.0,0,0.0,0,0.000225,3,0.000834,15,0.000802,19,0.000323,9,0.000139,2
2021-05-28 00:01:20.773,0.0,0,0.0,0,0.000138,1,0.0,0,9.38e-05,1,0.0,0,0.000606,11,0.000919,22,0.000497,14,0.000207,3
2021-05-28 00:02:20.727,0.0,0,0.000307,2,0.000143,1,0.000251,2,0.000291,3,0.000153,2,0.000626,11,0.000864,20,0.000257,7,0.0,0
2021-05-28 00:03:20.680,0.0,0,0.0,0,0.0,0,0.0,0,0.000276,3,0.000145,2,0.000486,9,0.00127,31,0.000452,13,0.00027,4
2021-05-28 00:04:20.633,0.000442,2,0.00015,1,0.0,0,0.000368,3,0.000379,4,0.000224,3,0.000222,4,0.00122,29,0.000394,11,0.000139,2
2021-05-28 00:05:20.586,0.000222,1,0.000302,2,0.00014,1,0.00037,3,0.000191,2,7.53e-05,1,0.000392,7,0.000977,23,0.000361,10,7.01e-05,1
2021-05-28 00:06:20.539,0.000461,2,0.000156,1,0.000146,1,0.0,0,9.89e-05,1,0.000234,3,0.000406,7,0.000925,21,0.000487,13,0.0,0
2021-05-28 00:07:20.492,0.0,0,0.000293,2,0.000136,1,0.00024,2,0.000278,3,0.000146,2,0.000489,9,0.0012,29,0.00035,10,0.000204,3
2021-05-28 00:08:20.445,0.0,0,0.00015,1,0.000279,2,0.0,0,0.000189,2,0.000299,4,0.000777,14,0.00105,25,0.000322,9,0.0,0
2021-05-28 00:09:20.398,0.0,0,0.000466,3,0.000145,1,0.000254,2,0.000196,2,0.000233,3,0.000807,14,0.000963,22,0.000483,13,0.0,0
2021-05-28 00:10:20.352,0.000221,1,0.0,0,0.000279,2,0.0,0,9.46e-05,1,0.000299,4,0.000222,4,0.000969,23,0.000394,11,0.000139,2
2021-05-28 00:11:20.305,0.000232,1,0.000314,2,0.000146,1,0.0,0,0.0,0,0.000157,2,0.000408,7,0.00119,27,0.000563,15,0.000146,2
2021-05-28 00:12:20.258,0.0,0,0.000149,1,0.000139,1,0.000243,2,0.0,0,7.42e-05,1,0.000552,10,0.00067,16,0.000462,13,0.000207,3
2021-05-28 00:13:20.211,0.000222,1,0.000301,2,0.00014,1,0.000123,1,0.0,0,0.000225,3,0.000502,9,0.00114,27,0.000288,8,0.0,0
2021-05-28 00:14:20.164,0.0,0,0.00015,1,0.00014,1,0.000123,1,0.000285,3,0.00015,2,0.000558,10,0.000889,21,0.000216,6,0.00014,2
2021-05-28 00:15:20.117,0.000217,1,0.000442,3,0.0,0,0.0,0,9.31e-05,1,0.000294,4,0.000766,14,0.000872,21,0.000388,11,0.000342,5
2021-05-28 00:16:20.070,0.00022,1,0.0,0,0.000139,1,0.000122,1,9.45e-05,1,0.000149,2,0.000388,7,0.00114,27,0.000322,9,0.000139,2
2021-05-28 00:17:20.023,0.00023,1,0.000156,1,0.0,0,0.0,0,0.000197,2,0.00039,5,0.000811,14,0.000659,15,0.000224,6,0.000218,3
2021-05-28 00:18:19.977,0.0,0,0.000308,2,0.0,0,0.000126,1,9.74e-05,1,0.000154,2,0.0004,7,0.000738,17,0.000627,17,0.0,0
2021-05-28 00:19:19.930,0.0,0,0.000598,4,0.000139,1,0.000122,1,9.45e-05,1,0.000149,2,0.000277,5,0.000884,21,0.000358,10,0.000139,2
2021-05-28 00:20:19.883,0.0,0,0.00029,2,0.0,0,0.0,0,0.0,0,0.000289,4,0.000806,15,0.000857,21,0.000277,8,6.73e-05,1
2021-05-28 00:21:19.836,0.0,0,0.00015,1,0.00014,1,0.000123,1,9.49e-05,1,0.00015,2,0.000446,8,0.00106,25,0.000503,14,0.0,0
2021-05-28 00:22:19.789,0.000233,1,0.000158,1,0.0,0,0.000259,2,0.000499,5,0.000236,3,0.000527,9,0.0008,18,0.00068,18,7.34e-05,1
2021-05-28 00:23:19.742,0.000221,1,0.0,0,0.000279,2,0.0,0,0.0,0,0.000149,2,0.000722,13,0.000927,22,0.000394,11,0.000209,3
2021-05-28 00:24:19.695,0.0,0,0.000153,1,0.000143,1,0.000251,2,0.000194,2,0.000459,6,0.000455,8,0.00104,24,0.00022,6,0.000427,6
