,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter
,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long
2021-05-28 20:00:00,400,61.07679070351833,3.105297685908297,0.6844352626278566,103.770755826423,4.461048966819171,36.770755826423,no,400,0.25571483828919483,-1.0225302173460349,1.0040249639817067,63.13639765109342,6.5703385545806885,-3.863602348906582,no,400,-50.40437844188074,-6.241423201591141,0.9636528089526866,9.451402281986702,6.254269613695606,-57.5485977180133,no,400,-98.57108744044223,-0.9409815550965159,0.950903857259826,-39.03075984880792,6.221308236939502,-106.03075984880792,no
2021-05-28 20:15:00,400,61.074955222038945,3.1056201434495216,0.6845331160714719,103.77504785518745,4.461689224128685,36.77504785518745,no,400,0.2557146209444637,-1.0212663406636144,1.004027201623945,63.136572759944485,6.570356874236457,-3.8634272400555147,no,400,-50.40340976903366,-6.240689047532286,0.9636518252568106,9.45242631919848,6.254275398661734,-57.54757368080152,no,400,-98.57184297066806,-0.9412630348625528,0.9509091509221421,-39.03118899707039,6.221342340258679,-106.03118899707039,no
2021-05-28 20:30:00,400,61.07311747259847,3.105942447260377,0.6846309145780608,103.7793341672231,4.462329121079978,36.7793341672231,no,400,0.25571435764666167,-1.0200024472387008,1.0040294388902824,63.136747757106974,6.570375187023595,-3.863252242893026,no,400,-50.402441068926066,-6.239954668638348,0.9636508414930012,9.453450401400744,6.254281185480451,-57.546549598599256,no,400,-98.57259856573012,-0.9415444874592698,0.9509144333843753,-39.031618916335276,6.221376369791312,-106.03161891633528,no
2021-05-28 20:45:00,400,61.0712774583276,3.106264597478365,0.6847286581613643,103.78361476652584,4.462968657763445,36.783614766525844,no,400,0.25571403820882543,-1.0187385300949228,1.0040316756424592,63.136922623882576,6.570393492052745,-3.863077376117424,no,400,-50.401472340707414,-6.239220064934563,0.9636498576612708,9.45447452942824,6.254286974150067,-57.54552547057176,no,400,-98.57335422455941,-0.9418259128869453,0.9509197046465134,-39.03204960553353,6.221410325537342,-106.03204960553353,no
2021-05-28 21:00:00,400,61.06943518235093,3.106586594240815,0.6848263468351251,103.78788965708571,4.463607834269523,36.787889657085714,no,400,0.2557136771086664,-1.0174745899595259,1.0040339120337165,63.13709738436837,6.570411790329049,-3.862902615631633,no,400,-50.40050358353835,-6.238485236446691,0.9636488737616918,9.455498704108038,6.254292764669403,-57.54450129589196,no,400,-98.57410994609114,-0.942107311145856,0.9509249647085465,-39.032481063600244,6.221444207496813,-106.03248106360024,no
2021-05-28 21:15:00,400,61.06759064513498,3.1069084376849325,0.6849239806130765,103.79215884023398,4.464246650688561,36.79215884023398,no,400,0.25571329611424953,-1.0162106293533055,1.0040361477143076,63.137272038255084,6.570430079545656,-3.862727961744916,no,400,-50.399534799227865,-6.237750183200366,0.9636478897942333,9.456522923612681,6.254298557036408,-57.54347707638732,no,400,-98.57486573191647,-0.942388682236308,0.950930213570464,-39.03291329212641,6.2214780156697085,-106.03291329212641,no
2021-05-28 21:30:00,400,61.06574384980484,3.1072301279477537,0.6850215595089428,103.79642231995996,4.464885107110854,36.79642231995996,no,400,0.2557128678838406,-1.0149466437784793,1.0040383829483215,63.137446574937094,6.57044836145129,-3.862553425062906,no,400,-50.39856598693217,-6.237014905221631,0.9636469057590074,9.457547188776118,6.254304351250129,-57.54245281122388,no,400,-98.57562158096573,-0.942670026158588,0.9509354512322559,-39.03334629004229,6.221511750056079,-106.03334629004229,no
2021-05-28 21:45:00,400,61.06389479947589,3.107551665166046,0.6851190835364084,103.80068010024077,4.4655232036264545,36.80068010024077,no,400,0.255712423625799,-1.0136826352619677,1.0040406175714238,63.13762101522492,6.570466634959516,-3.862378984775077,no,400,-50.39759714580515,-6.236279402535406,0.9636459216559974,9.458571500426842,6.25431014730872,-57.54142849957316,no,400,-98.57637749217463,-0.9429513429129531,0.9509406776939099,-39.03378005628343,6.2215454106559385,-106.03378005628343,no
2021-05-28 22:00:00,400,61.062043494608574,3.1078730494765385,0.6852165527091839,103.80493218240017,4.466160940325568,36.804932182400165,no,400,0.2557119319116002,-1.0124186039120169,1.0040428516613606,63.13779533257625,6.570484900580865,-3.8622046674237467,no,400,-50.39662827766165,-6.235543675167926,0.9636449374852407,9.459595856735575,6.254315945210593,-57.540404143264425,no,400,-98.57713346713422,-0.9432326324997056,0.9509458929554165,-39.034214592440776,6.2215789974692415,-106.03421459244078,no
2021-05-28 22:15:00,400,61.060189938317855,3.108194281015685,0.68531396704094,103.80917857041399,4.466798317298156,36.80917857041399,no,400,0.25571138321586717,-1.0111545493852272,1.0040450854307206,63.137969530848366,6.5705031597137,-3.862030469151634,no,400,-50.3956593816535,-6.234807723144913,0.9636439532467903,9.460620258537006,6.254321744954508,-57.539379741462994,no,400,-98.57788950477595,-0.9435138949191335,0.9509510970167653,-39.03464989744566,6.221612510496091,-106.03464989744566,no
